scenario_id,S,K,T,sigma,r,moneyness,num_paths,mc_runtime_ms,mc_price
1,221.807055,199.852938,1.876693,0.150079,0.069276,1.109851,20000,2.294381,49.289041
2,126.871371,119.742922,1.274543,0.273405,0.079692,1.059531,20000,2.294381,25.565844
3,62.648289,65.512471,0.955244,0.455097,0.067669,0.95628,20000,2.294381,11.470557
4,87.718081,89.938219,1.775709,0.330011,0.03675,0.975315,20000,2.294381,16.845862
5,178.260756,164.186299,0.423879,0.220058,0.018624,1.085722,20000,2.294381,19.600706
6,75.657229,70.534897,1.872305,0.338705,0.058383,1.072621,20000,2.294381,20.094262
7,62.950486,87.180419,1.666621,0.223418,0.073509,0.722071,20000,2.294381,2.753932
8,50.788941,57.638885,0.169508,0.345684,0.04379,0.881158,20000,2.294381,0.861433
9,164.763868,135.128551,1.919679,0.173716,0.032246,1.219312,20000,2.294381,39.625848
10,66.13013,57.443977,1.439962,0.263752,0.073193,1.151211,20000,2.294381,16.657711
11,124.645723,112.049109,1.386449,0.571253,0.058116,1.11242,20000,2.294381,41.673754
12,117.545926,91.467689,1.426917,0.130686,0.018274,1.285109,20000,2.294381,28.742771
13,121.245787,138.095121,1.403161,0.284117,0.076943,0.877987,20000,2.294381,15.223761
14,156.733194,138.445022,1.034256,0.594637,0.046258,1.132097,20000,2.294381,49.078383
15,131.479052,156.979224,1.925876,0.257528,0.048987,0.837557,20000,2.294381,13.914614
16,123.187313,109.220183,1.421396,0.250464,0.063389,1.12788,20000,2.294381,28.154491
17,115.102312,114.508987,0.982811,0.416273,0.048257,1.005181,20000,2.294381,21.150666
18,135.513688,147.162293,1.750622,0.136517,0.071321,0.920845,20000,2.294381,12.524212
19,162.981552,133.951222,1.111214,0.247656,0.070224,1.216723,20000,2.294381,42.089967
20,164.306509,170.585061,1.900896,0.593042,0.073239,0.963194,20000,2.294381,57.518861
21,99.121985,111.017851,0.670282,0.260986,0.037913,0.892847,20000,2.294381,5.04838
22,235.198216,192.590379,1.072503,0.343202,0.037882,1.221236,20000,2.294381,60.922513
23,139.014575,131.284529,1.796706,0.427759,0.016542,1.05888,20000,2.294381,35.661456
24,84.572236,104.325817,1.586398,0.179311,0.068267,0.810655,20000,2.294381,4.287091
25,80.422981,69.167864,1.268805,0.181703,0.02773,1.162722,20000,2.294381,15.22403
26,110.807097,90.560581,0.220512,0.539607,0.072601,1.223569,20000,2.294381,24.442342
27,65.243474,74.27452,0.810496,0.490233,0.002508,0.87841,20000,2.294381,8.478166
28,140.024535,195.746314,1.981768,0.389809,0.029733,0.715337,20000,2.294381,17.31183
29,76.74489,98.647361,0.62109,0.371136,0.032591,0.777972,20000,2.294381,3.078718
30,72.732024,63.972496,1.209019,0.582277,0.025914,1.136926,20000,2.294381,22.75735
31,104.676112,131.059484,0.407865,0.433445,0.018914,0.798692,20000,2.294381,3.991054
32,144.376955,155.561312,0.204362,0.206668,0.007041,0.928103,20000,2.294381,1.814107
33,101.94493,121.11822,0.612596,0.331453,0.066782,0.841698,20000,2.294381,5.501415
34,131.822864,170.152905,0.593949,0.270547,0.002292,0.774732,20000,2.294381,1.66185
35,115.77635,102.272209,0.329585,0.267978,0.018795,1.132041,20000,2.294381,16.00645
36,139.467533,147.111909,1.414094,0.153757,0.050416,0.948037,20000,2.294381,11.250085
37,52.600511,52.383062,0.396133,0.296999,0.037324,1.004151,20000,2.294381,4.41486
38,113.970856,102.364397,0.99049,0.42243,0.063875,1.113384,20000,2.294381,27.541035
39,90.702826,81.00457,0.716109,0.103344,0.064477,1.119725,20000,2.294381,13.45415
40,78.926257,82.927522,1.512222,0.206609,0.036022,0.95175,20000,2.294381,8.20148
41,230.887298,199.198007,0.179621,0.581143,0.054175,1.159084,20000,2.294381,41.946526
42,137.718031,181.637117,0.802459,0.592693,0.058925,0.758204,20000,2.294381,17.934462
43,136.923973,187.027375,1.818315,0.513661,0.04254,0.732107,20000,2.294381,26.17421
44,214.78102,167.412789,1.306607,0.535534,0.070495,1.282943,20000,2.294381,80.683682
45,63.342491,70.68105,1.64155,0.468917,0.045691,0.896174,20000,2.294381,14.029349
46,198.23673,169.009441,1.240229,0.36906,0.055169,1.172933,20000,2.294381,53.796778
47,160.609958,124.973648,0.218904,0.153791,0.006651,1.285151,20000,2.294381,35.776337
48,237.039923,190.316793,1.35072,0.160213,0.044748,1.245502,20000,2.294381,58.893268
49,233.941405,180.001589,1.617863,0.432771,0.078619,1.299663,20000,2.294381,90.674846
50,83.857755,99.300891,0.081791,0.473575,0.04396,0.844481,20000,2.294381,0.669412
51,118.901779,149.082294,1.899096,0.579623,0.027403,0.797558,20000,2.294381,29.649468
52,172.353667,153.42459,1.457482,0.375524,0.067619,1.123377,20000,2.294381,47.528226
53,113.064774,107.38044,0.843747,0.564363,0.07879,1.052936,20000,2.294381,28.588891
54,195.606213,172.536974,1.746035,0.585175,0.064082,1.133706,20000,2.294381,75.469341
55,79.496149,96.484299,1.827978,0.103372,0.022257,0.823928,20000,2.294381,0.838418
56,81.906242,114.057614,0.852105,0.593943,0.026079,0.718113,20000,2.294381,8.793482
57,82.510859,95.83622,0.687533,0.564538,0.027535,0.860957,20000,2.294381,11.057957
58,64.581047,50.104546,0.258899,0.293369,0.048122,1.288926,20000,2.294381,15.313393
59,135.605679,139.18988,1.484212,0.153376,0.013212,0.97425,20000,2.294381,9.713929
60,253.377142,195.752272,1.502067,0.328663,0.01312,1.294377,20000,2.294381,76.105318
61,121.912771,158.253907,0.588801,0.395467,0.077268,0.770362,20000,2.294381,5.908601
62,180.482192,172.454959,1.925433,0.581175,0.069282,1.046547,20000,2.294381,67.947217
63,74.518214,67.351511,0.716623,0.375946,0.074067,1.106407,20000,2.294381,14.796762
64,107.137179,83.652571,1.000583,0.57215,0.039151,1.28074,20000,2.294381,37.446906
65,118.886778,132.418729,1.538082,0.266853,0.066659,0.897809,20000,2.294381,15.296902
66,119.64699,118.621725,0.383204,0.4477,0.042372,1.008643,20000,2.294381,14.625668
67,72.187109,63.982406,1.733477,0.454945,0.030832,1.128234,20000,2.294381,22.075316
68,123.786046,104.90682,1.36057,0.106408,0.061976,1.179962,20000,2.294381,27.357702
69,172.149782,184.438084,1.251711,0.512302,0.029945,0.933374,20000,2.294381,37.1445
70,56.926612,58.152322,0.861492,0.207029,0.048821,0.978922,20000,2.294381,4.904912
71,105.540055,82.900402,0.09606,0.539982,0.071809,1.273095,20000,2.294381,23.612404
72,99.586062,88.959937,0.601292,0.176894,0.062199,1.119448,20000,2.294381,14.830549
73,121.824287,99.360307,0.750672,0.436312,0.038342,1.226086,20000,2.294381,31.898473
74,163.378567,175.124706,1.511492,0.151003,0.024492,0.932927,20000,2.294381,9.907798
75,203.791723,186.18648,1.202917,0.121241,0.051938,1.094557,20000,2.294381,30.330682
76,136.432759,186.502243,0.202797,0.162538,0.040557,0.731534,20000,2.294381,0.0
77,114.987384,95.768912,0.931038,0.550484,0.000254,1.200675,20000,2.294381,33.055894
78,256.37846,197.732887,0.147711,0.334065,0.04001,1.29659,20000,2.294381,59.805376
79,160.500804,130.269279,0.123505,0.242007,0.029931,1.232069,20000,2.294381,30.838596
80,76.875939,91.252833,1.841182,0.454958,0.060854,0.84245,20000,2.294381,17.603903
81,167.544941,169.467079,0.462095,0.427619,0.046104,0.988658,20000,2.294381,20.337275
82,90.819696,88.920446,1.986083,0.586202,0.045354,1.021359,20000,2.294381,32.418814
83,150.480879,190.000859,0.559426,0.131357,0.007987,0.792001,20000,2.294381,0.060068
84,148.061507,115.853081,1.269505,0.457707,0.028462,1.278011,20000,2.294381,47.960744
85,54.374957,77.632857,1.400922,0.469727,0.008758,0.700412,20000,2.294381,5.916965
86,155.77225,124.680546,1.665836,0.137674,0.05717,1.249371,20000,2.294381,42.720892
87,87.168045,68.304191,1.20827,0.302771,0.009065,1.276174,20000,2.294381,22.352558
88,159.863808,170.557669,1.547852,0.419512,0.010798,0.937301,20000,2.294381,29.834521
89,225.368008,196.61763,0.478063,0.5183,0.062963,1.146225,20000,2.294381,49.63231
90,217.980493,176.521479,0.617866,0.127768,0.036832,1.234867,20000,2.294381,45.376407
91,199.286422,194.981378,1.972626,0.273844,0.04786,1.022079,20000,2.294381,41.074108
92,142.449572,191.331809,0.332988,0.46684,0.00131,0.744516,20000,2.294381,3.145985
93,79.704531,82.388756,0.506616,0.134783,0.057445,0.96742,20000,2.294381,2.906696
94,41.714973,57.012073,1.010727,0.302884,0.065754,0.731687,20000,2.294381,1.73925
95,95.090188,122.179814,1.720887,0.399999,0.046373,0.778281,20000,2.294381,14.111681
96,134.698521,126.131003,0.674132,0.122182,0.035604,1.067926,20000,2.294381,12.876028
97,71.935871,55.798304,0.653696,0.440392,0.030281,1.289213,20000,2.294381,19.705018
98,52.581572,63.168375,0.090303,0.476212,0.033751,0.832403,20000,2.294381,0.411776
99,116.523825,107.026164,1.997738,0.159796,0.047552,1.088741,20000,2.294381,22.233441
100,217.184113,175.797806,1.614198,0.291112,0.0423,1.23542,20000,2.294381,61.851894
101,82.604012,73.327356,1.506792,0.497324,0.003278,1.12651,20000,1.498997,23.5988
102,59.843072,52.580911,1.471217,0.210204,0.054548,1.138114,20000,1.498997,12.875091
103,172.776942,148.61054,0.902036,0.408574,0.030417,1.162616,20000,1.498997,41.391271
104,106.682392,116.799191,1.22848,0.594016,0.058225,0.913383,20000,1.498997,27.333476
105,49.2532,62.545344,0.229322,0.357769,0.06577,0.78748,20000,1.498997,0.424297
106,68.552298,52.742975,0.859041,0.56673,0.009851,1.299743,20000,1.498997,22.173524
107,132.106745,148.846879,1.729024,0.240158,0.006765,0.887535,20000,1.498997,10.839381
108,178.994551,188.365993,0.072753,0.111557,0.005556,0.950249,20000,1.498997,0.10619
